,valence,year,acousticness,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,artists,collaborators
37968,0.542,2017,0.847,0.4970000000000001,204939,0.55,1,66dQdXAbtuPdSasezCQVZE,0.049,8,0.11900000000000001,-6.13,1,SUMMER,67,2017-08-25,0.0257,79.955,['BROCKHAMPTON'],1
16873,0.456,2006,0.0452,0.264,280467,0.78,0,7ISL3LO8AWP3fKIXunvqTa,0.0222,0,0.376,-2.741,1,Joker And The Thief,67,2006-01-01,0.0517,155.376,['Wolfmother'],1
37985,0.4320000000000001,2017,0.000729,0.591,194717,0.746,0,35Ki1lvKPC2sFBD3GmKdRG,0.0,8,0.127,-7.7620000000000005,1,Televised,67,2017-05-26,0.0444,107.965,['HUNNY'],1
16030,0.805,2002,0.368,0.7170000000000001,204000,0.85,0,7E2DqvnVtbIrFrL5X6YH9Q,0.0,10,0.0495,-5.329,1,Beer For My Horses,67,2002-01-01,0.0473,119.005,"['Toby Keith', 'Willie Nelson']",2
16868,0.701,2006,0.0745,0.758,268067,0.642,0,6oUGAx0vkBcnGzYkvw0ZsA,0.0,7,0.191,-8.128,0,Shortie Like Mine (feat. Chris Brown & Johntá Austin),67,2006-12-18,0.221,142.078,"['Bow Wow', 'Chris Brown', 'Johnta Austin']",3
37984,0.495,2017,0.423,0.765,220160,0.5,1,32xx0fAv3CIeGmNaWTHvEF,0.0,1,0.10800000000000001,-7.626,1,Heebiejeebies - Bonus,67,2017-07-28,0.152,107.04299999999999,"['Aminé', 'Kehlani']",2
16039,0.318,2002,6.48e-05,0.5529999999999999,233267,0.7170000000000001,0,003FTlCpBTM4eSqYSWPv4H,0.128,7,0.0385,-5.857,1,"Swing, Swing",67,2002-10-15,0.0318,127.947,['The All-American Rejects'],1
16042,0.514,2002,0.0394,0.402,211547,0.8590000000000001,0,6PsISpFaCEKwysPfwO9SfC,0.0,1,0.0745,-4.41,0,Cute Without The 'E' (Cut From The Team),67,2002-03-26,0.0466,95.31,['Taking Back Sunday'],1
16858,0.28600000000000003,2006,0.00804,0.41600000000000004,202973,0.741,0,5PZ2cqh9Yem2g6cTSOLllz,0.0,7,0.273,-4.001,1,Pain,67,2006-06-25,0.0335,160.515,['Three Days Grace'],1
18484,0.311,2014,0.0746,0.599,234547,0.8540000000000001,0,7D49Iig0avHre9RFSUMkd2,0.0,9,0.278,-5.428999999999999,1,I Lived,67,2014-01-01,0.0436,119.986,['OneRepublic'],1
16853,0.4320000000000001,2006,0.00941,0.5529999999999999,208280,0.8370000000000001,0,6fx1fKIs5e0pBL5FpdC7RB,0.0,6,0.3720000000000001,-5.608,1,MakeDamnSure,67,2006-04-25,0.0452,140.495,['Taking Back Sunday'],1
16851,0.348,2006,0.10300000000000001,0.6990000000000001,228653,0.8370000000000001,0,0Ta3jOf8m9yCSWMVwd8Qlf,0.0,2,0.231,-5.172999999999999,1,International Harvester,67,2006-10-31,0.0428,95.493,['Craig Morgan'],1
16082,0.2,2002,0.105,0.341,334907,0.662,0,3bwAS8cN7Xtzvv5UurJOOX,0.0,9,0.113,-5.023,0,I Am the Highway,67,2002-11-17,0.0335,174.875,['Audioslave'],1
